월,연도,원인,건수
5,2019,담뱃불실화,0
5,2019,성묘객실화,2
5,2019,어린이불장난,1
5,2019,건축물화재,2
5,2019,기타,30
5,2020,입산자실화,8
5,2020,논밭두렁등소각,1
5,2020,쓰레기소각,3
5,2020,담뱃불실화,4
5,2020,성묘객실화,0
5,2020,어린이불장난,0
5,2020,건축물화재,2
5,2020,기타,8
5,2021,입산자실화,9
5,2021,논밭두렁등소각,0
5,2021,쓰레기소각,1
5,2021,담뱃불실화,1
5,2021,성묘객실화,1
5,2021,어린이불장난,2
5,2021,건축물화재,1
5,2021,기타,5
5,2022,입산자실화,41
5,2022,논밭두렁등소각,4
5,2022,쓰레기소각,4
5,2022,담뱃불실화,9
5,2022,성묘객실화,2
5,2022,건축물화재,7
5,2022,기타,48
5,2023,입산자실화,16
5,2023,논밭두렁등소각,2
5,2023,쓰레기소각,4
5,2023,담뱃불실화,3
5,2023,성묘객실화,1
5,2023,어린이불장난,0
5,2023,건축물화재,0
5,2023,기타,7
5,2024,입산자실화,6
5,2024,논밭두렁등소각,2
5,2024,쓰레기소각,0
5,2024,담뱃불실화,1
5,2024,성묘객실화,0
5,2024,어린이불장난,0
5,2024,건축물화재,0
5,2024,기타,8
5,2025,입산자실화,2
5,2025,논밭두렁등소각,0
5,2025,쓰레기소각,1
5,2025,담뱃불실화,0
5,2025,성묘객실화,0
5,2025,어린이불장난,0
5,2025,건축물화재,1
5,2025,기타,2
6,2006,입산자실화,0
6,2006,논밭두렁등소각,0
6,2006,쓰레기소각,1
6,2006,담뱃불실화,0
6,2006,성묘객실화,0
6,2006,어린이불장난,0
6,2006,건축물화재,0
6,2006,기타,0
6,2007,입산자실화,10
6,2007,논밭두렁등소각,5
6,2007,쓰레기소각,2
6,2007,담뱃불실화,0
6,2007,성묘객실화,0
6,2007,어린이불장난,0
6,2007,건축물화재,0
6,2007,기타,1
6,2008,입산자실화,2
6,2008,논밭두렁등소각,0
6,2008,쓰레기소각,0
6,2008,담뱃불실화,0
6,2008,성묘객실화,0
6,2008,어린이불장난,0
6,2008,건축물화재,0
6,2008,기타,0
6,2009,입산자실화,9
6,2009,논밭두렁등소각,3
6,2009,쓰레기소각,0
6,2009,담뱃불실화,0
6,2009,성묘객실화,1
6,2009,어린이불장난,0
6,2009,건축물화재,0
6,2009,기타,4
6,2010,입산자실화,11
6,2010,논밭두렁등소각,3
6,2010,쓰레기소각,2
6,2010,담뱃불실화,1
6,2010,성묘객실화,0
6,2010,어린이불장난,0
6,2010,건축물화재,2
6,2010,기타,2
6,2011,입산자실화,7
6,2011,논밭두렁등소각,1
6,2011,쓰레기소각,0
6,2011,담뱃불실화,0
6,2011,성묘객실화,0
6,2011,어린이불장난,0
6,2011,건축물화재,0
6,2011,기타,1
6,2012,입산자실화,13
6,2012,논밭두렁등소각,3
6,2012,쓰레기소각,0
6,2012,담뱃불실화,0
6,2012,성묘객실화,1
6,2012,어린이불장난,0
6,2012,건축물화재,0
6,2012,기타,18
6,2013,입산자실화,2
6,2013,논밭두렁등소각,1
6,2013,쓰레기소각,0
6,2013,담뱃불실화,0
6,2013,성묘객실화,0
6,2013,어린이불장난,0
6,2013,건축물화재,0
6,2013,기타,3
6,2014,입산자실화,7
6,2014,논밭두렁등소각,1
6,2014,쓰레기소각,2
6,2014,담뱃불실화,1
6,2014,성묘객실화,0
6,2014,어린이불장난,0
6,2014,건축물화재,0
6,2014,기타,2
6,2015,입산자실화,28
6,2015,논밭두렁등소각,9
6,2015,쓰레기소각,11
6,2015,담뱃불실화,3
6,2015,성묘객실화,0
6,2015,어린이불장난,0
6,2015,건축물화재,2
6,2015,기타,35
6,2016,입산자실화,15
6,2016,논밭두렁등소각,4
6,2016,쓰레기소각,4
6,2016,담뱃불실화,0
6,2016,성묘객실화,0
6,2016,어린이불장난,0
6,2016,건축물화재,1
6,2016,기타,4
6,2017,입산자실화,45
6,2017,논밭두렁등소각,7
6,2017,쓰레기소각,7
6,2017,담뱃불실화,3
6,2017,성묘객실화,1
6,2017,어린이불장난,0
6,2017,건축물화재,2
6,2017,기타,21
6,2018,입산자실화,27
6,2018,논밭두렁등소각,3
6,2018,쓰레기소각,3
6,2018,담뱃불실화,0
6,2018,성묘객실화,0
6,2018,어린이불장난,0
6,2018,건축물화재,2
6,2018,기타,10
6,2019,입산자실화,7
6,2019,논밭두렁등소각,2
6,2019,쓰레기소각,1
6,2019,담뱃불실화,1
6,2019,성묘객실화,0
6,2019,어린이불장난,0
6,2019,건축물화재,2
6,2019,기타,2
6,2020,입산자실화,11
6,2020,논밭두렁등소각,4
6,2020,쓰레기소각,2
6,2020,담뱃불실화,5
6,2020,성묘객실화,0
6,2020,어린이불장난,0
6,2020,건축물화재,3
6,2020,기타,13
6,2021,입산자실화,0
6,2021,논밭두렁등소각,0
6,2021,쓰레기소각,1
6,2021,담뱃불실화,0
6,2021,성묘객실화,0
6,2021,어린이불장난,0
6,2021,건축물화재,0
6,2021,기타,2
6,2022,입산자실화,9
6,2022,논밭두렁등소각,0
6,2022,쓰레기소각,1
6,2022,담뱃불실화,5
6,2022,성묘객실화,1
6,2022,건축물화재,1
6,2022,기타,9
6,2023,입산자실화,5
6,2023,논밭두렁등소각,0
6,2023,쓰레기소각,1
6,2023,담뱃불실화,1
6,2023,성묘객실화,0
6,2023,어린이불장난,0
6,2023,건축물화재,0
6,2023,기타,4
6,2024,입산자실화,3
6,2024,논밭두렁등소각,0
6,2024,쓰레기소각,1
6,2024,담뱃불실화,1
6,2024,성묘객실화,0
6,2024,어린이불장난,0
6,2024,건축물화재,3
6,2024,기타,20
6,2025,입산자실화,4
6,2025,논밭두렁등소각,3
6,2025,쓰레기소각,6
6,2025,담뱃불실화,0
6,2025,성묘객실화,0
6,2025,어린이불장난,0
6,2025,건축물화재,2
6,2025,기타,12
7,2006,입산자실화,0
7,2006,논밭두렁등소각,0
